user_id,created_at,company_id,language,activated_at,state
0.00,01-01-13 20:59,5737,english,01-01-13 21:01,active
1.00,01-01-13 13:07,28,english,,pending
2.00,01-01-13 10:59,51,english,,pending
3.00,01-01-13 18:40,2800,german,01-01-13 18:42,active
4.00,01-01-13 14:37,5110,indian,01-01-13 14:39,active
5.00,01-01-13 13:39,2463,spanish,,pending
6.00,01-01-13 18:37,11699,english,01-01-13 18:38,active
7.00,01-01-13 16:19,4765,french,01-01-13 16:20,active
8.00,01-01-13 4:38,2698,french,01-01-13 4:40,active
9.00,01-01-13 8:04,1,french,,pending
10.00,01-01-13 9:36,10,arabic,,pending
11.00,01-01-13 8:07,3745,english,01-01-13 8:09,active
12.00,01-01-13 18:05,903,english,,pending
13.00,02-01-13 12:27,4025,english,02-01-13 12:29,active
14.00,02-01-13 17:17,5077,portugese,,pending
15.00,02-01-13 15:39,4259,english,02-01-13 15:41,active
16.00,02-01-13 17:45,10408,german,,pending
17.00,02-01-13 10:56,5025,japanese,02-01-13 10:57,active
18.00,02-01-13 8:18,3,japanese,,pending
19.00,02-01-13 9:54,326,english,02-01-13 9:55,active
20.00,02-01-13 9:41,7,italian,02-01-13 9:43,active
21.00,02-01-13 9:29,2606,english,02-01-13 9:30,active
22.00,02-01-13 17:36,545,german,02-01-13 17:38,active
23.00,02-01-13 20:04,15,english,,pending
24.00,03-01-13 13:08,11301,english,,pending
25.00,03-01-13 5:38,2,japanese,,pending
26.00,03-01-13 12:11,9833,english,,pending
27.00,03-01-13 16:14,6,japanese,03-01-13 16:15,active
28.00,03-01-13 9:53,1167,english,,pending
29.00,03-01-13 13:00,1208,english,,pending
30.00,03-01-13 8:28,4148,english,03-01-13 8:29,active
31.00,03-01-13 15:45,39,arabic,03-01-13 15:46,active
32.00,03-01-13 15:55,6518,english,,pending
33.00,03-01-13 12:16,10768,english,03-01-13 12:18,active
34.00,03-01-13 11:24,11353,japanese,,pending
35.00,03-01-13 16:06,1891,english,03-01-13 16:07,active
36.00,03-01-13 11:51,2,english,03-01-13 11:53,active
37.00,03-01-13 7:13,7943,spanish,,pending
38.00,04-01-13 8:51,7618,french,,pending
39.00,04-01-13 8:53,6322,chinese,,pending
40.00,04-01-13 12:59,361,english,,pending
41.00,04-01-13 13:06,5049,english,,pending
42.00,04-01-13 19:52,3,english,,pending
43.00,04-01-13 13:40,1486,english,,pending
44.00,04-01-13 13:52,706,japanese,,pending
45.00,04-01-13 7:46,7432,japanese,,pending
46.00,04-01-13 13:48,719,english,,pending
47.00,04-01-13 10:39,1,indian,04-01-13 10:41,active
48.00,04-01-13 9:55,27,english,,pending
49.00,05-01-13 14:33,8727,spanish,05-01-13 14:34,active
50.00,05-01-13 17:41,12526,spanish,05-01-13 17:43,active
51.00,05-01-13 21:57,11855,english,,pending
52.00,06-01-13 13:35,6,english,06-01-13 13:37,active
53.00,06-01-13 1:29,13119,english,,pending
54.00,06-01-13 2:52,2,english,06-01-13 2:54,active
55.00,06-01-13 14:35,2233,german,06-01-13 14:37,active
56.00,07-01-13 8:03,4224,english,,pending
57.00,07-01-13 7:10,3184,portugese,,pending
58.00,07-01-13 18:24,6855,german,,pending
59.00,07-01-13 20:47,2296,chinese,07-01-13 20:49,active
60.00,07-01-13 18:11,3427,english,,pending
61.00,07-01-13 11:54,9260,spanish,,pending
62.00,07-01-13 18:12,4,japanese,,pending
63.00,07-01-13 18:37,5,english,,pending
64.00,07-01-13 9:56,9229,english,07-01-13 9:57,active
65.00,07-01-13 16:05,12736,portugese,,pending
66.00,07-01-13 15:37,7927,french,07-01-13 15:39,active
67.00,07-01-13 13:46,10818,english,07-01-13 13:47,active
68.00,07-01-13 14:38,11005,spanish,,pending
69.00,08-01-13 2:48,128,english,,pending
70.00,08-01-13 18:57,502,english,,pending
71.00,08-01-13 18:30,3640,japanese,,pending
72.00,08-01-13 8:40,9024,english,,pending
73.00,08-01-13 13:36,33,english,,pending
74.00,08-01-13 21:11,1,english,,pending
75.00,08-01-13 14:45,26,english,,pending
76.00,08-01-13 11:05,215,english,,pending
77.00,08-01-13 14:21,21,english,,pending
78.00,08-01-13 12:58,1,english,08-01-13 13:00,active
79.00,08-01-13 14:28,5870,chinese,,pending
80.00,08-01-13 6:19,925,spanish,08-01-13 6:20,active
81.00,08-01-13 10:19,10217,russian,,pending
82.00,09-01-13 8:52,12403,english,,pending
83.00,09-01-13 16:40,2343,english,09-01-13 16:42,active
84.00,09-01-13 17:14,9501,english,09-01-13 17:16,active
85.00,09-01-13 8:43,9531,spanish,,pending
86.00,09-01-13 13:24,1,indian,09-01-13 13:25,active
87.00,09-01-13 9:54,95,english,09-01-13 9:56,active
88.00,09-01-13 15:43,3629,english,,pending
89.00,09-01-13 17:17,100,french,,pending
90.00,09-01-13 12:27,789,english,09-01-13 12:29,active
91.00,09-01-13 12:34,5895,arabic,,pending
92.00,09-01-13 10:45,1,english,09-01-13 10:46,active
93.00,10-01-13 18:05,11406,italian,,pending
94.00,10-01-13 18:07,1,english,,pending
95.00,10-01-13 11:01,11485,english,,pending
96.00,10-01-13 19:23,9728,indian,,pending
97.00,10-01-13 12:32,7578,french,10-01-13 12:33,active
98.00,10-01-13 10:23,9136,portugese,10-01-13 10:25,active
99.00,10-01-13 11:00,7,english,10-01-13 11:02,active
100.00,10-01-13 12:51,1,english,,pending
101.00,10-01-13 13:05,5343,french,10-01-13 13:07,active
102.00,10-01-13 11:47,9294,english,,pending
